"Planet Name","St. Dist","St. Spec. Type","St. Right Asc.","St. Decli.","St. Mag. V.",
"11 UMi b","119.5","K4III","15 17 06","+71 49 26","5.02",
"14 And b","76.4","K0III","23 31 17","+39 14 10","5.22",
"14 Her b","18.1","K0 V","16 10 23","+43 49 18","6.67",
"16 Cyg B b","21.41","G2.5 V","19 41 51","+50 31 03","6.2",
"18 Del b","73.1","G6III","20 58 26","+10 50 21","5.52",
"2M1207 b","52.4","M8","12 07 33","-39 32 54","20.15",
"30 Ari B b","39.4","F6V","02 36 58","+24 38 53","7.1",
"4 Uma b","62.39","K1III","08 40 13","+64 19 41","5.79",
"42 Dra b","97.3","K1.5III","18 25 59","+65 33 49","4.83",
"47 Uma b","13.97","G0V","10 59 29","+40 25 46","5.1",
"47 Uma c","13.97","G0V","10 59 29","+40 25 46","5.1",
"51 Peg b","14.7","G2 IV","22 57 27","+20 46 07","5.49",
"55 Cnc b","13.02","G8 V","08 52 37","+28 20 02","5.95",
"55 Cnc c","13.02","G8 V","08 52 37","+28 20 02","5.95",
"55 Cnc d","13.02","G8 V","08 52 37","+28 20 02","5.95",
"55 Cnc e","13.02","G8 V","08 52 37","+28 20 02","5.95",
"55 Cnc f","13.02","G8 V","08 52 37","+28 20 02","5.95",
"6 Lyn b","56.9","K0IV","06 30 47","+58 09 46","5.86",
"61 Vir b","8.52","G5V","13 18 24","-18 18 40","4.74",
"61 Vir c","8.52","G5V","13 18 24","-18 18 40","4.74",
"61 Vir d","8.52","G5V","13 18 24","-18 18 40","4.74",
"70 Vir b","22","G4 V","13 28 26","+13 47 12","5",
"81 Cet b","97.2","G5III","02 37 42","-03 23 46","5.65",
"AB Pic b","45.6","K2 V","06 19 12","-58 03 15","9.16",
"BD+20 1790 b","25.4","K5V","07 23 44","+20 24 51","9.93",
"BD-082823 b","42.2","K3V","10 00 48","-09 31 00","9.86",
"BD-082823 c","42.2","K3V","10 00 48","-09 31 00","9.86",
"BD-10 3166 b",,"G4 V","10 58 28","-10 46 13","10.08",
"BD-17 63 b","34.6","K5V","00 28 34","-16 13 35","9.62",
"BD14 4559 b","50","K2V","21 13 36","+14 41 22","9.63",
"BD20 2457 b","200","K2II","10 16 45","+19 53 29","9.75",
"BD20 2457 c","200","K2II","10 16 45","+19 53 29","9.75",
"beta Pic b","19.3","A6V","05 47 17","-51 03 59","3.86",
"ChaHa8 b","160","M6.5","11 07 48","-77 40 08","20.1",
"CoRoT-1 b","460","G0V","06 48 19","-03 06 08","13.6",
"CoRoT-2 b","300","K0V","19 27 07","+01 23 02","12.57",
"CoRoT-3 b","680","F3V","19 28 13","00 07 19","13.3",
"CoRoT-4 b",,"F0V","06 48 47","-00 40 22","13.7",
"CoRoT-5 b","400","F9V","06 45 07","00 48 55","14",
"CoRoT-6 b",,"F5V",,,"13.9",
"CoRoT-7 b","150","K0V","06 43 49","-01 03 46","11.7",
"CoRoT-7 c","150","K0V","06 43 49","-01 03 46","11.7",
"CT Cha b","165","K7","11 04 09","-76 27 19","12.36",
"DP Leo b",,"AM Her","11 17 16","+17 57 41","17.5",
"eps Eridani b","3.2","K2 V","03 32 55","-09 27 29","3.73",
"eps Tau b","45","K0 III","04 28 37","+19 10 50","3.53",
"Fomalhaut b","7.7","A3 V","22 57 39","-29 37 20","1.16",
"gamma 1 Leo b","38.5","K0III","10 19 58","+19 50 29","2.01",
"gamma Cephei b","13.79","K2 V","23 39 20","+77 37 56","3.22",
"GJ 1214 b","13",,"17 15 19","+04 57 50","14.67",
"GJ 3021 b","17.62","G6 V","00 16 12","-79 51 04","6.59",
